17973231757768007,"{'data': [{'id': '18164272351251085'}, {'id': '18033536569407366'}, {'id': '17933828039389923'}, {'id': '17942371958398922'}, {'id': '17970704824821337'}, {'id': '17974695667856910'}, {'id': '18268664701096372'}, {'id': '18024954940429328'}, {'id': '18223158577093130'}, {'id': '17844560387888832'}]}",11,CAROUSEL_ALBUM,".⁡
⁡フィルムが現像できたのでめいっぱい上げときます。⁡⁡
⁡いい京都だった！
⁡⁡
⁡⁡⁡
⁡⁡
⁡
備忘録：⁡
⁡写ルンです⁡
⁡rollei35/iso100⁡-FUJIFILM 35mm

#フィルム #フイルムカメラ #フィルム写真  #写ルンです #rollei35 #iso100",,
17957003546179649,,10,IMAGE,"⠀
#フィルム #フィルムカメラ #フィルム写真 #フィルムに恋してる #フィルム部 #生活とフィルム #日常の風景 #ファインダー越しの私の世界 #写ルンです #写ルンです風 #写真で伝えたい私の世界 #写真好きな人と繋がりたい #写真撮ってる人と繋がりたい #お写んぽ #スナップ写真 #フィルムカメラのある生活 #filmに魅せられて #photography #camera #snapshot #analogphotography",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315550787_673898897474768_6038357935493917265_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8KxJ-wK9qgwAX_FyinO&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfAf-G5NmIqGPOSgDfbhqAUeWz0NWFLpEYsDZnABC0EVIQ&oe=6378A1A3
17964403376039455,,3,IMAGE,,,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315297650_836839320854554_4526238306261922280_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Sl3HQFwrAdIAX9v1PJb&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfCh654QYGjoXI98KGQwqHab-4ChBTdz8ahRgpDPCBt4mA&oe=637864A9
18333003610004192,,17,IMAGE,"⠀
何でもない日常を

#フィルム #フィルムカメラ #フィルム写真 #フィルムに恋してる #フィルム部 #生活とフィルム #日常の風景 #ファインダー越しの私の世界 #写ルンです #写ルンです風 #写真で伝えたい私の世界 #写真好きな人と繋がりたい #写真撮ってる人と繋がりたい #お写んぽ #スナップ写真 #フィルムカメラのある生活 #filmに魅せられて #photography #camera #snapshot #analogphotography",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315633016_4115637548560006_9156337060883835393_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=F69HVxY0QIcAX_YuPGP&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBnxNZN4qmJyCdjMvf7Sw-kkGSmquDLt952RCoZsx-J9w&oe=63790296
17973384550751746,,7,IMAGE,"Kassel Germany for documentafifteen 🇩🇪 July 2022

#fujifilm #analogphoto #写ルンです #mirror #kassel ##germany #art #garten #garden #karlswiese",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315643667_882816526213284_1152236367422101228_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=pyH9nmtthXQAX_86H8n&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBkEQEpmPS5jr3iq4mrWcFTgE4oZPJVB4s03cSJ4X3fMA&oe=63792445
17967584851951627,,6,IMAGE,"Kassel Germany for documentafifteen 🇩🇪 July 2022

#fujifilm #analogphoto #写ルンです #mirror #kassel #documenta #germany #art #garten #garden #karlswiese",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315639755_633883818517035_544799242789632515_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hvg2uWpEXL4AX-UVeu8&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfDCem4DFdaU1Uog2bEGW8s59y5tXswIFEiboJyJpUNKUQ&oe=63798BE4
17955514796323299,,8,IMAGE,"クリスマスツリーのある部屋にて。

#クリスマスツリー#Cocacola#Christmastree#Christmas
#thischristmas #stanley #ikea
#Minolta#minoltahimatic#写ルンです#CannonEOS
#フイルムカメラ#フイルム写真 #filmcamera#filmphotography#onfilm",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315754713_1135976647310084_7098338702544396543_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ZDmBz0Njp5oAX8QQnmb&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfAh7U31PaxwwuZ6QCDiIxdnqjuCMuZezLiF2KzW24Llog&oe=6378E87F
17935988351340937,,32,IMAGE,"#ファインダー越しの私の世界 #filmphotography #ポートレート #東北photogram 
#ほふく撮影隊 
#pics_jp #loves_world #film_com 
#analogphotography #team_jp_  #film_jp  #wp_japan #フィルム部 #フィルム写真 #フィルムカメラ #フィルムに恋してる #フィルム写真普及委員会 #フィルムの灯を絶やさない  #写真好きな人と繋がりたい #closeup_archive  #広がり同盟 
  #filmisnotdead #35mmfilmphotography #pentax67 #写ルンです  #写ルンですのある生活 #filmcamera #filmcommunity #portrait #マリフォト2022年12月初冬",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315436891_1486599118485908_2669199024343605456_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DpeqJazqJS4AX_elbgO&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfD2phBnD9DtuOpq21TyI1UvwXv-p5N1VrZy8ma7sSy4LQ&oe=63788962
17953300373206516,,25,IMAGE,"☀︎

♨︎🧖‍♀️♨︎",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315448611_1153900991999066_6181114787890338305_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=tpm-So89r94AX_sDoag&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfCK5L-th5pxC8iC-3Yx4HTaWvJiCsy96VJ9pWtoJumjdw&oe=6378A58B
17941502615451179,,8,IMAGE,"Re:2022.9.6(Tue)
・
・
・
デジフィルプロジェクト とは？
 →8/6〜9/25の間、スマホor一眼レフと写ルンですを用いて、1日1枚写真を撮ります。デジタル写真は時系列順に毎日投稿し、夏休み終了後にフィルム写真を時系列とは反対に投稿していきます。このようにして、アナログとデジタル、時系列・反時系列から何が見えてくるのかを実験する企画となっております！

#2022 #summervacation #夏休み #デジフィルプロジェクト #フィルム #フィルムカメラ #フィルム写真 #写ルンです #電車 #train #名鉄",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/314956016_922640715755289_2194363287375867352_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=-De0XPYKVyMAX9gSEd_&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBxZ7iETy_e5BTniUpFlrEXESd-XKeZF3IBb6ABUYrgzw&oe=63789854
